date,escopo_autuacao,uf,quantidade_autos
01-MAR-2022,Excesso de Peso,MT,65
01-MAR-2022,Excesso de Peso,RJ,502
01-MAR-2022,Excesso de Peso,RS,80
01-MAR-2022,Excesso de Peso,RS,351
01-MAR-2022,Excesso de Peso,SP,90
01-ABR-2022,Evasão de Balança,MT,2902
01-ABR-2022,Evasão de Balança,SP,1626
01-ABR-2022,Excesso de Peso,BA,1
01-ABR-2022,Excesso de Peso,GO,283
01-ABR-2022,Excesso de Peso,MG,835
01-ABR-2022,Excesso de Peso,MT,453
01-ABR-2022,Excesso de Peso,RJ,629
01-ABR-2022,Excesso de Peso,RS,414
01-ABR-2022,Excesso de Peso,SP,123
01-MAI-2022,CMT - Capacidade Máxima de Tração,MG,8
01-MAI-2022,CMT - Capacidade Máxima de Tração,RJ,4
01-MAI-2022,Evasão de Balança,SP,1206
01-MAI-2022,Excesso de Peso,MT,69
01-MAI-2022,Excesso de Peso,MT,434
01-MAI-2022,Excesso de Peso,RJ,912
01-MAI-2022,Excesso de Peso,RS,349
01-MAI-2022,Excesso de Peso,SC,214
01-MAI-2022,Excesso de Peso,SP,90
01-MAI-2022,Excesso de Peso,SP,137
01-JUN-2022,CMT - Capacidade Máxima de Tração,ES,4
01-JUN-2022,CMT - Capacidade Máxima de Tração,MG,1
01-JUN-2022,CMT - Capacidade Máxima de Tração,RJ,3
01-JUN-2022,CMT - Capacidade Máxima de Tração,RS,2
01-JUN-2022,CMT - Capacidade Máxima de Tração,SC,1
01-JUN-2022,CMT - Capacidade Máxima de Tração,SP,2
01-JUN-2022,Evasão de Balança,MT,1544
01-JUN-2022,Excesso de Peso,BA,2
01-JUN-2022,Excesso de Peso,ES,232
01-JUN-2022,Excesso de Peso,ES,262
01-JUN-2022,Excesso de Peso,ES,579
01-JUN-2022,Excesso de Peso,GO,163
01-JUN-2022,Excesso de Peso,MT,792
01-JUN-2022,Excesso de Peso,RS,463
01-JUN-2022,Excesso de Peso,SC,174
